
  ZVRE, 2.05

  stimulus-start        ; stimulus-stop       ; stimulus-unit       ; nof-points; parameter-type; impedance-ohm
  3.00000000000E+05     ; 3.00000000000E+06   ; Hz                  ; 1601      ; RATIO_B2_B1   ; 50        

  conversion            ; time-domain         ; data-format         ; param-unit; smoothing     ; trace-math
  none                  ; none                ; RI                  ; none      ; none          ; none

  sweep-mode-type       ; notlinear-meas-mode 
  FUNDAMENTAL           ; none                


  freq              ;  reRATIO_B2_B ; imRATIO_B2_B  
   4.55250000000E+05;  7.35752E-07  ; 2.3435E-06   
   4.56937500000E+05; -2.16755E-07  ; 1.71709E-06  
   4.58625000000E+05; -1.37338E-07  ; 3.73521E-06  
   4.60312500000E+05;  1.4764E-06   ; 3.10891E-06  
   4.62000000000E+05;  5.1637E-07   ; 2.04766E-06  
   4.63687500000E+05; -4.31329E-07  ; 2.87712E-09  
   4.65375000000E+05; -3.23151E-07  ; 3.5192E-06   
   4.67062500000E+05;  1.24108E-06  ;-5.19063E-07  
   4.68750000000E+05; -2.62441E-06  ;-2.94548E-07  
   4.70437500000E+05;  1.70314E-06  ; 1.12334E-06  
   4.72125000000E+05;  2.6708E-06   ; 1.60642E-06  
   4.73812500000E+05; -3.13289E-06  ;-2.6979E-07   
   4.75500000000E+05; -1.61294E-06  ;-4.49839E-07  
   4.77187500000E+05;  2.05356E-06  ; 3.10127E-06  
   4.78875000000E+05; -7.788E-08    ; 3.52973E-06  
   4.80562500000E+05; -4.96745E-07  ;-3.48212E-06  
   4.82250000000E+05; -1.58377E-06  ; 1.84277E-06  
   4.83937500000E+05;  1.6519E-06   ; 1.97428E-06  
   4.85625000000E+05; -7.8029E-07   ; 1.97207E-06  
   4.87312500000E+05;  1.61663E-06  ; 2.69607E-06  
   4.89000000000E+05;  1.79622E-06  ; 8.77461E-07  
   4.90687500000E+05;  1.75191E-06  ; 1.39582E-06  
   4.92375000000E+05;  5.32645E-07  ; 2.28591E-07  
   4.94062500000E+05;  2.7856E-06   ; 1.24194E-06  
   4.95750000000E+05; -6.05544E-07  ; 8.06727E-07  
   4.97437500000E+05; -9.52834E-07  ; 2.47605E-06  
   4.99125000000E+05;  2.32514E-06  ; 2.52046E-06  
   5.00812500000E+05;  1.78427E-08  ;-1.07969E-06  
   5.02500000000E+05;  5.70766E-07  ;-1.31481E-08  
   5.04187500000E+05; -8.76379E-07  ; 1.81946E-06  
   5.05875000000E+05;  2.43071E-06  ; 2.96125E-06  
   5.07562500000E+05;  3.05399E-06  ; 5.90189E-07  
   5.09250000000E+05; -5.29383E-07  ; 2.49851E-06  
   5.10937500000E+05; -1.46364E-06  ; 1.11514E-06  
   5.12625000000E+05; -4.65311E-07  ; 2.09143E-06  
   5.14312500000E+05; -7.18987E-07  ;-1.4418E-06   
   5.16000000000E+05; -1.24808E-06  ; 1.41963E-06  
   5.17687500000E+05; -7.35274E-07  ; 7.20616E-07  
   5.19375000000E+05; -1.86464E-06  ; 1.68923E-07  
   5.21062500000E+05; -2.25575E-08  ; 1.57339E-06  
   5.22750000000E+05; -2.03862E-06  ; 3.48814E-06  
   5.24437500000E+05; -8.94488E-07  ; 2.4763E-06   
   5.26125000000E+05;  1.59851E-07  ; 4.27488E-07  
   5.27812500000E+05; -1.40232E-06  ; 4.63194E-07  
   5.29500000000E+05;  1.01238E-06  ; 2.18899E-06  
   5.31187500000E+05; -1.53706E-06  ; 3.76339E-06  
   5.32875000000E+05; -1.66113E-06  ; 1.44344E-06  
