
  ZVRE, 2.05

  stimulus-start        ; stimulus-stop       ; stimulus-unit       ; nof-points; parameter-type; impedance-ohm
  3.00000000000E+05     ; 3.00000000000E+06   ; Hz                  ; 1601      ; RATIO_B2_B1   ; 50        

  conversion            ; time-domain         ; data-format         ; param-unit; smoothing     ; trace-math
  none                  ; none                ; RI                  ; none      ; none          ; none

  sweep-mode-type       ; notlinear-meas-mode 
  FUNDAMENTAL           ; none                


  freq              ;  reRATIO_B2_B ; imRATIO_B2_B  
   3.00000000000E+05;  2.03472E-06  ; 1.59493E-06  
   3.01687500000E+05; -1.48778E-06  ;-3.87076E-06  
   3.03375000000E+05;  4.93703E-07  ; 4.52214E-06  
   3.05062500000E+05; -2.29972E-06  ; 1.1176E-06   
   3.06750000000E+05; -1.26683E-06  ; 4.52071E-07  
   3.08437500000E+05;  1.86193E-06  ; 3.88207E-06  
   3.10125000000E+05; -2.20114E-06  ; 2.30656E-06  
   3.11812500000E+05;  3.22341E-07  ;-8.38774E-07  
   3.13500000000E+05; -2.95716E-06  ; 1.51587E-06  
   3.15187500000E+05; -3.47393E-07  ;-2.16248E-06  
   3.16875000000E+05; -1.70713E-06  ;-6.65009E-08  
   3.18562500000E+05; -9.74067E-07  ; 5.12303E-07  
   3.20250000000E+05; -2.45406E-06  ;-1.17273E-07  
   3.21937500000E+05; -2.03681E-06  ;-1.29639E-06  
   3.23625000000E+05;  1.26698E-06  ;-2.94901E-08  
   3.25312500000E+05;  4.20434E-07  ; 1.46331E-06  
   3.27000000000E+05; -4.69611E-06  ; 2.67789E-07  
   3.28687500000E+05; -1.67444E-08  ; 3.22493E-06  
   3.30375000000E+05;  7.65474E-07  ; 1.93905E-06  
   3.32062500000E+05; -1.02393E-06  ; 7.99059E-07  
   3.33750000000E+05;  1.09543E-06  ; 3.63121E-06  
   3.35437500000E+05;  1.15361E-06  ; 1.29186E-06  
   3.37125000000E+05; -9.34368E-07  ; 2.89657E-06  
   3.38812500000E+05; -2.32131E-06  ; 4.30637E-07  
   3.40500000000E+05;  2.22267E-06  ;-2.85312E-06  
   3.42187500000E+05;  2.58202E-06  ; 5.67264E-07  
   3.43875000000E+05;  3.79105E-06  ;-2.35882E-07  
   3.45562500000E+05; -4.14523E-07  ;-9.81775E-07  
   3.47250000000E+05; -1.622E-06    ;-9.52045E-07  
   3.48937500000E+05; -1.13237E-06  ;-1.87319E-06  
   3.50625000000E+05; -4.4137E-06   ;-2.11197E-06  
   3.52312500000E+05;  7.24648E-07  ; 2.81364E-06  
   3.54000000000E+05;  1.70426E-07  ; 1.16756E-06  
   3.55687500000E+05;  2.41898E-06  ;-1.4265E-06   
   3.57375000000E+05; -2.23284E-06  ; 3.43437E-07  
   3.59062500000E+05;  1.45506E-06  ; 1.24742E-06  
   3.60750000000E+05;  1.13801E-06  ; 3.50292E-06  
   3.62437500000E+05;  1.08265E-06  ;-1.80265E-06  
   3.64125000000E+05;  2.22857E-06  ;-1.04795E-06  
   3.65812500000E+05; -3.27647E-07  ; 4.25381E-06  
   3.67500000000E+05; -5.83415E-07  ;-9.05257E-07  
   3.69187500000E+05;  1.94722E-06  ; 7.45114E-09  
   3.70875000000E+05; -4.24026E-09  ; 7.63241E-09  
   3.72562500000E+05;  1.21735E-07  ; 2.34833E-06  
   3.74250000000E+05;  6.84042E-07  ; 6.34938E-07  
   3.75937500000E+05;  1.47017E-06  ;-2.66793E-06  
   3.77625000000E+05; -5.83617E-07  ;-1.7537E-06   
   3.79312500000E+05;  1.53227E-06  ;-3.57932E-08  
   3.81000000000E+05; -7.89866E-07  ; 6.24489E-07  
   3.82687500000E+05;  2.35686E-06  ; 5.31024E-07  
   3.84375000000E+05; -1.21366E-06  ; 4.15445E-07  
   3.86062500000E+05; -1.33494E-06  ; 3.18425E-06  
   3.87750000000E+05; -1.39139E-06  ; 1.08603E-06  
   3.89437500000E+05;  6.8623E-08   ; 4.06403E-06  
   3.91125000000E+05; -2.66218E-07  ; 3.31029E-06  
   3.92812500000E+05; -3.66804E-06  ;-1.40227E-06  
   3.94500000000E+05;  1.09364E-06  ; 1.00506E-06  
   3.96187500000E+05;  3.77574E-07  ;-5.03875E-07  
   3.97875000000E+05; -3.63868E-07  ;-6.69955E-07  
   3.99562500000E+05; -6.88177E-07  ; 3.60348E-06  
   4.01250000000E+05; -1.609E-06    ;-1.94601E-06  
   4.02937500000E+05; -2.85943E-07  ; 5.94296E-06  
   4.04625000000E+05;  3.55971E-06  ;-6.71531E-07  
   4.06312500000E+05; -9.47686E-07  ; 2.6378E-06   
   4.08000000000E+05; -5.44363E-07  ; 3.50396E-07  
   4.09687500000E+05;  1.10399E-06  ; 1.47677E-06  
   4.11375000000E+05;  9.95617E-07  ; 1.19211E-06  
   4.13062500000E+05;  1.85892E-06  ; 3.23068E-06  
   4.14750000000E+05; -7.55794E-07  ; 9.39954E-07  
   4.16437500000E+05;  5.51135E-07  ; 2.60745E-06  
   4.18125000000E+05;  2.74901E-06  ;-1.72674E-06  
   4.19812500000E+05;  2.83177E-06  ;-1.40701E-06  
   4.21500000000E+05; -1.23677E-06  ; 5.7697E-07   
   4.23187500000E+05; -1.04153E-06  ; 9.93217E-07  
   4.24875000000E+05;  2.81615E-06  ; 1.41483E-06  
   4.26562500000E+05; -5.23646E-06  ;-6.80835E-07  
   4.28250000000E+05;  7.392E-07    ; 1.60568E-06  
   4.29937500000E+05; -1.33642E-06  ; 1.12124E-06  
   4.31625000000E+05; -3.72396E-07  ; 6.60847E-07  
   4.33312500000E+05;  1.70495E-06  ; 3.19349E-06  
   4.35000000000E+05; -8.12881E-08  ; 9.84499E-07  
   4.36687500000E+05;  3.56756E-06  ; 1.32548E-06  
   4.38375000000E+05; -2.11044E-06  ; 2.11812E-06  
   4.40062500000E+05;  2.52414E-07  ;-1.76844E-06  
   4.41750000000E+05;  2.95046E-07  ; 2.07608E-06  
   4.43437500000E+05;  1.26431E-06  ;-2.48452E-07  
   4.45125000000E+05; -4.12681E-06  ; 2.1559E-06   
   4.46812500000E+05; -1.99477E-06  ; 9.90236E-07  
   4.48500000000E+05; -2.34924E-06  ; 9.08268E-07  
   4.50187500000E+05; -6.28328E-07  ; 2.87953E-06  
   4.51875000000E+05;  2.47379E-06  ;-1.9164E-06   
   4.53562500000E+05; -3.91347E-06  ;-1.72565E-06  
   4.55250000000E+05; -1.2008E-06   ; 7.90374E-07  
   4.56937500000E+05;  1.55579E-06  ; 3.04279E-07  
   4.58625000000E+05;  6.79758E-07  ;-3.98105E-06  
   4.60312500000E+05;  1.22657E-06  ; 1.43608E-06  
   4.62000000000E+05; -1.11203E-06  ;-6.90697E-07  
   4.63687500000E+05; -1.81977E-07  ;-1.4848E-06   
   4.65375000000E+05; -8.48361E-07  ; 2.39874E-06  
   4.67062500000E+05;  1.69623E-06  ; 2.40544E-06  
   4.68750000000E+05; -1.49935E-06  ; 1.03131E-07  
   4.70437500000E+05;  2.85954E-06  ; 2.8199E-06   
   4.72125000000E+05; -8.86723E-07  ;-8.9628E-07   
   4.73812500000E+05;  3.62945E-06  ;-1.92933E-06  
   4.75500000000E+05;  4.64612E-06  ; 2.22339E-06  
   4.77187500000E+05; -4.16521E-07  ;-9.95251E-07  
   4.78875000000E+05; -7.47992E-08  ; 3.72146E-06  
   4.80562500000E+05; -6.73158E-07  ; 2.57956E-06  
   4.82250000000E+05; -3.26087E-07  ; 1.60458E-06  
   4.83937500000E+05;  5.56916E-07  ; 1.97412E-06  
   4.85625000000E+05;  2.62654E-06  ; 1.12753E-06  
   4.87312500000E+05; -1.30869E-06  ; 2.49163E-06  
   4.89000000000E+05;  2.38129E-07  ; 2.09967E-06  
   4.90687500000E+05;  2.33558E-07  ; 2.74159E-06  
   4.92375000000E+05; -3.09661E-07  ; 2.74949E-06  
   4.94062500000E+05;  1.34099E-06  ; 4.40884E-07  
   4.95750000000E+05; -2.194E-06    ; 5.69897E-07  
   4.97437500000E+05; -1.75261E-06  ;-3.06755E-07  
   4.99125000000E+05;  8.28858E-08  ;-1.12929E-07  
   5.00812500000E+05; -2.23582E-06  ; 4.28878E-07  
   5.02500000000E+05; -6.95461E-07  ; 1.93749E-06  
   5.04187500000E+05;  7.93293E-07  ; 3.11858E-06  
   5.05875000000E+05;  1.23236E-06  ;-1.84939E-06  
   5.07562500000E+05; -8.60576E-07  ; 6.78609E-07  
   5.09250000000E+05; -4.54333E-07  ;-5.11577E-07  
   5.10937500000E+05; -1.23011E-06  ; 3.68469E-06  
   5.12625000000E+05;  7.26411E-07  ; 1.76736E-06  
   5.14312500000E+05;  1.70158E-06  ; 1.38277E-06  
   5.16000000000E+05;  1.21316E-06  ; 3.57546E-06  
   5.17687500000E+05;  8.28491E-07  ; 1.43791E-06  
   5.19375000000E+05; -1.76644E-07  ; 1.11455E-06  
   5.21062500000E+05; -6.68999E-07  ;-2.03838E-06  
   5.22750000000E+05; -2.26743E-06  ; 7.84003E-07  
   5.24437500000E+05; -8.7725E-07   ; 8.7506E-08   
   5.26125000000E+05; -1.44881E-06  ;-3.93262E-07  
   5.27812500000E+05; -1.64913E-06  ;-2.6632E-06   
   5.29500000000E+05; -8.39135E-07  ; 1.3184E-06   
   5.31187500000E+05;  8.28819E-09  ;-2.0289E-06   
   5.32875000000E+05; -3.30944E-07  ; 3.06501E-07  
   5.34562500000E+05; -2.43729E-06  ;-6.3089E-07   
   5.36250000000E+05; -2.22605E-06  ; 9.51372E-08  
   5.37937500000E+05;  9.77505E-07  ; 2.53329E-06  
   5.39625000000E+05;  5.42956E-07  ;-1.77185E-06  
   5.41312500000E+05; -1.49485E-06  ; 2.86465E-06  
   5.43000000000E+05; -1.02032E-06  ; 1.73858E-06  
