
  ZVRE, 2.05

  stimulus-start        ; stimulus-stop       ; stimulus-unit       ; nof-points; parameter-type; impedance-ohm
  3.00000000000E+05     ; 3.00000000000E+06   ; Hz                  ; 1601      ; RATIO_B2_B1   ; 50        

  conversion            ; time-domain         ; data-format         ; param-unit; smoothing     ; trace-math
  none                  ; none                ; RI                  ; none      ; none          ; none

  sweep-mode-type       ; notlinear-meas-mode 
  FUNDAMENTAL           ; none                


  freq              ;  reRATIO_B2_B ; imRATIO_B2_B  
   3.00000000000E+05; -1.21927E-08  ; 8.52096E-07  
   3.01687500000E+05; -2.39991E-07  ;-1.18799E-06  
   3.03375000000E+05; -1.09021E-06  ;-1.75099E-07  
   3.05062500000E+05; -3.1418E-06   ; 1.38673E-06  
   3.06750000000E+05;  3.17503E-07  ;-1.30779E-06  
   3.08437500000E+05;  2.36696E-06  ; 2.10869E-06  
   3.10125000000E+05;  8.99255E-07  ;-2.23655E-06  
   3.11812500000E+05; -1.26721E-07  ; 1.06181E-06  
   3.13500000000E+05;  5.15327E-07  ;-2.08222E-07  
   3.15187500000E+05; -1.08978E-06  ; 5.8419E-07   
   3.16875000000E+05;  3.76628E-07  ; 2.3804E-06   
   3.18562500000E+05; -1.18977E-06  ; 1.22855E-07  
   3.20250000000E+05; -3.64517E-06  ;-8.1966E-07   
   3.21937500000E+05; -2.82562E-06  ; 1.53483E-06  
   3.23625000000E+05; -8.09694E-08  ; 7.80354E-07  
   3.25312500000E+05;  2.73853E-06  ; 1.44886E-06  
   3.27000000000E+05;  2.01779E-06  ;-4.45404E-07  
   3.28687500000E+05;  6.87159E-07  ;-2.2668E-06   
   3.30375000000E+05;  1.34246E-06  ; 1.49293E-06  
   3.32062500000E+05;  1.40966E-06  ; 2.38524E-06  
   3.33750000000E+05; -1.09505E-06  ;-2.86236E-07  
   3.35437500000E+05; -2.35585E-06  ; 1.63529E-06  
   3.37125000000E+05; -3.11153E-06  ; 2.53381E-06  
   3.38812500000E+05; -1.72131E-06  ; 7.68178E-07  
   3.40500000000E+05;  1.95122E-06  ; 2.6704E-06   
   3.42187500000E+05;  1.34753E-07  ; 2.05308E-06  
   3.43875000000E+05; -3.39382E-08  ; 1.38938E-06  
