# Version 1.00
#
freq[Hz]	db:Trc1_S11	ang:Trc1_S11	db:Trc2_S12	ang:Trc2_S12	db:Trc3_S21	ang:Trc3_S21	db:Trc4_S22	ang:Trc4_S22	
3.500000000000000E+009	-4.233314467604457E+000	3.323159314165456E+001	-5.567563862032909E+000	-1.007404288260004E+002	-5.519336971829728E+000	-9.682759956407666E+001	-1.255299846755157E+001	1.057850342833614E+002	
3.500220000000000E+009	-4.267432293202932E+000	3.246468759055767E+001	-5.545920999228158E+000	-1.017717099734763E+002	-5.492527101312810E+000	-9.787049517343449E+001	-1.245989163996403E+001	1.048134868265966E+002	
3.500440000000000E+009	-4.301496164696735E+000	3.168922402953954E+001	-5.524400281816766E+000	-1.028045518120302E+002	-5.465405267153197E+000	-9.889958702903519E+001	-1.237025181081346E+001	1.038395108101442E+002	
3.500660000000000E+009	-4.336959829126898E+000	3.092713514670124E+001	-5.503590545516070E+000	-1.038399660382408E+002	-5.438665037676616E+000	-9.995211142331081E+001	-1.228325287461205E+001	1.028541299920110E+002	
3.500880000000000E+009	-4.372567193634043E+000	3.016672452255330E+001	-5.482894240146941E+000	-1.048681672032442E+002	-5.412444120992292E+000	-1.010015271470989E+002	-1.219882400466893E+001	1.018657528875644E+002	
3.501100000000000E+009	-4.406651307553236E+000	2.940045995124992E+001	-5.462383896323026E+000	-1.059029161239131E+002	-5.387375732784498E+000	-1.020339417234714E+002	-1.211752008497034E+001	1.008723646147965E+002	
3.501320000000000E+009	-4.440086249659358E+000	2.866320106414996E+001	-5.442253669928358E+000	-1.069317902878908E+002	-5.367352325072919E+000	-1.030888054699990E+002	-1.203893048734477E+001	9.986833710335642E+001	
3.501540000000000E+009	-4.476267907668060E+000	2.792283744152407E+001	-5.422584108321030E+000	-1.079616293573057E+002	-5.343827984064768E+000	-1.041490868008926E+002	-1.196225461133497E+001	9.885994436693923E+001	
3.501760000000000E+009	-4.512596210288476E+000	2.716511138147793E+001	-5.403037846313581E+000	-1.089960473967571E+002	-5.318502590675307E+000	-1.051890803670171E+002	-1.188806429928993E+001	9.784565564827635E+001	
3.501980000000000E+009	-4.548361067208998E+000	2.640611671012104E+001	-5.383874427121834E+000	-1.100267925473631E+002	-5.293534808340577E+000	-1.062240832758735E+002	-1.181662493819036E+001	9.682775514005614E+001	
3.502200000000000E+009	-4.586226661511176E+000	2.562809865830726E+001	-5.365261878847834E+000	-1.110581908637573E+002	-5.264689476750291E+000	-1.072490936467701E+002	-1.174666422772542E+001	9.580749491243516E+001	
3.502420000000000E+009	-4.624190351693944E+000	2.485935117142208E+001	-5.346933548314152E+000	-1.120920462200820E+002	-5.237077691021008E+000	-1.082814984797559E+002	-1.167929885176609E+001	9.477598482243961E+001	
3.502640000000000E+009	-4.662368202017474E+000	2.408979349388447E+001	-5.328961728909734E+000	-1.131226576487444E+002	-5.209321633913484E+000	-1.093134703210071E+002	-1.161380905538184E+001	9.373989988531919E+001	
3.502860000000000E+009	-4.699163861050003E+000	2.333450175195626E+001	-5.310890355309119E+000	-1.141528425411838E+002	-5.184766306856161E+000	-1.103467156019684E+002	-1.155107108661664E+001	9.269020343818478E+001	
3.503080000000000E+009	-4.736217320850243E+000	2.260353479059773E+001	-5.293417794462132E+000	-1.151835576039850E+002	-5.163372800684543E+000	-1.113990372259116E+002	-1.149100323315680E+001	9.163283963345876E+001	
3.503300000000000E+009	-4.774574317504382E+000	2.187031932466416E+001	-5.276091393003294E+000	-1.162094736488389E+002	-5.140762459790632E+000	-1.124526252505252E+002	-1.143220068388231E+001	9.056935302456853E+001	
3.503520000000000E+009	-4.812561361268801E+000	2.113400167478948E+001	-5.259216319760919E+000	-1.172403994510235E+002	-5.118015298612163E+000	-1.134987261258172E+002	-1.137569487523543E+001	8.949760950982692E+001	
3.503740000000000E+009	-4.848662748615968E+000	2.038360471312712E+001	-5.242401853775591E+000	-1.182674144666221E+002	-5.094684425334219E+000	-1.145221703257388E+002	-1.132080695941549E+001	8.842366662758818E+001	
3.503960000000000E+009	-4.885845458216080E+000	1.965603721250801E+001	-5.225803000018148E+000	-1.192976875932857E+002	-5.073940073306803E+000	-1.155646633020443E+002	-1.126824874298463E+001	8.733425303038925E+001	
3.504180000000000E+009	-4.925528784090059E+000	1.894443750623546E+001	-5.209666704395612E+000	-1.203236061642066E+002	-5.053596484844018E+000	-1.166318380441964E+002	-1.121725802805970E+001	8.623169688958413E+001	
