# Version 1.00
#
freq[Hz]	db:Trc1_S11	ang:Trc1_S11	db:Trc2_S12	ang:Trc2_S12	db:Trc3_S21	ang:Trc3_S21	db:Trc4_S22	ang:Trc4_S22	
3.500000000000000E+009	-4.110865001838795E+000	3.688521185828630E+001	-1.709404066374436E+001	9.961971206292488E+001	-1.702041752571032E+001	9.976556070228997E+001	-7.247418813807458E-001	-3.533933208196788E+001	
3.500220000000000E+009	-4.141923930145561E+000	3.612242629605152E+001	-1.721298350465070E+001	9.958267228926653E+001	-1.714024738678717E+001	9.969810249282742E+001	-7.284448637761194E-001	-3.659550508244486E+001	
3.500440000000000E+009	-4.173258365108226E+000	3.536217086824737E+001	-1.733165582528875E+001	9.955976525819627E+001	-1.725871394469345E+001	9.966456348816109E+001	-7.309299516149830E-001	-3.787435742531982E+001	
3.500660000000000E+009	-4.204938318384939E+000	3.459747276995361E+001	-1.744742488809381E+001	9.956381845984554E+001	-1.737647328604689E+001	9.966481596557266E+001	-7.341977386964144E-001	-3.915724502349809E+001	
3.500880000000000E+009	-4.236981256064302E+000	3.382897964971501E+001	-1.756374771592397E+001	9.957816761942790E+001	-1.749231421850170E+001	9.968124783993481E+001	-7.370325464477664E-001	-4.045845287937949E+001	
3.501100000000000E+009	-4.269355022692125E+000	3.306419092533609E+001	-1.767680705660148E+001	9.965167830497433E+001	-1.760603306864423E+001	9.973554370196298E+001	-7.410548952240318E-001	-4.174495637433948E+001	
3.501320000000000E+009	-4.301194717983143E+000	3.230420934178765E+001	-1.778792547951861E+001	9.976230191176727E+001	-1.771669522248905E+001	9.983130252390814E+001	-7.443059876852287E-001	-4.304107969309957E+001	
3.501540000000000E+009	-4.333798494019384E+000	3.154873804543946E+001	-1.789535806934017E+001	9.990332647181529E+001	-1.782603870996425E+001	9.995587586750429E+001	-7.476720992326459E-001	-4.433776990870167E+001	
3.501760000000000E+009	-4.365282072378922E+000	3.080163368017914E+001	-1.800085073913970E+001	1.000700144414647E+002	-1.793086318202318E+001	1.001232934327118E+002	-7.516375000033371E-001	-4.565059054937592E+001	
3.501980000000000E+009	-4.397848227466865E+000	3.003825656872122E+001	-1.810399604246167E+001	1.002414025929968E+002	-1.803339051976108E+001	1.002983947010747E+002	-7.548730042002986E-001	-4.697892783133576E+001	
3.502200000000000E+009	-4.431704685246820E+000	2.927443970588414E+001	-1.820140390459676E+001	1.004774943833250E+002	-1.813298158611931E+001	1.005072816817872E+002	-7.577414061962682E-001	-4.830971449666110E+001	
3.502420000000000E+009	-4.464682463901480E+000	2.851853071036217E+001	-1.829745669732649E+001	1.007309057394561E+002	-1.822849192015738E+001	1.007608573312199E+002	-7.610900982186876E-001	-4.964802603582267E+001	
3.502640000000000E+009	-4.498067781714240E+000	2.776133613365337E+001	-1.838664618667496E+001	1.010422305870762E+002	-1.831951199905233E+001	1.010393692294423E+002	-7.653732157803588E-001	-5.097096459012218E+001	
3.502860000000000E+009	-4.530880521880092E+000	2.701334906606255E+001	-1.847047109744750E+001	1.013629855547976E+002	-1.840520590401532E+001	1.013598051821231E+002	-7.690845063916086E-001	-5.230853233335768E+001	
3.503080000000000E+009	-4.564013067484490E+000	2.626213780478794E+001	-1.855278931303339E+001	1.016902799165806E+002	-1.848759429207668E+001	1.016888882941627E+002	-7.718926525667271E-001	-5.365229981401225E+001	
3.503300000000000E+009	-4.598174459281039E+000	2.550054106147317E+001	-1.862698463679039E+001	1.020459542932676E+002	-1.856436509306003E+001	1.020411318904544E+002	-7.747438793699671E-001	-5.500073755212330E+001	
3.503520000000000E+009	-4.631958369341520E+000	2.474742624459084E+001	-1.869541453365087E+001	1.024439969624353E+002	-1.863456125327813E+001	1.024198595626096E+002	-7.775872865354199E-001	-5.635186706621587E+001	
