# Version 1.00
#
freq[Hz]	db:Trc1_S11	ang:Trc1_S11	db:Trc2_S12	ang:Trc2_S12	db:Trc3_S21	ang:Trc3_S21	db:Trc4_S22	ang:Trc4_S22	
3.500000000000000E+009	-4.014111134455846E+000	3.538803792660100E+001	-1.709266109293901E+001	1.009699229336993E+002	-1.710572103898436E+001	1.047969216106961E+002	-6.824239154493208E-001	-3.214298361865342E+001	
3.500220000000000E+009	-4.038445976417589E+000	3.461440764867771E+001	-1.721372138576475E+001	1.009062908210090E+002	-1.722323087080423E+001	1.047320348940045E+002	-6.824844927935526E-001	-3.340385209354044E+001	
3.500440000000000E+009	-4.062661742764189E+000	3.383179277437166E+001	-1.733378104499698E+001	1.008698301691084E+002	-1.733888265672903E+001	1.047136639416718E+002	-6.831909776570034E-001	-3.467373541585755E+001	
3.500660000000000E+009	-4.088055973065342E+000	3.306033100550865E+001	-1.745228328733055E+001	1.008631956938544E+002	-1.745279055588054E+001	1.047036495532247E+002	-6.836146810777800E-001	-3.594758985997378E+001	
3.500880000000000E+009	-4.113564055618550E+000	3.228842235543272E+001	-1.756908259522707E+001	1.008940401486484E+002	-1.756476407332586E+001	1.047293936785388E+002	-6.842368470732224E-001	-3.722597591613735E+001	
3.501100000000000E+009	-4.137716861305998E+000	3.150931282243344E+001	-1.768349354026788E+001	1.009489177307384E+002	-1.767623177524580E+001	1.048043044665955E+002	-6.849130646666720E-001	-3.850983332612488E+001	
3.501320000000000E+009	-4.161114194554062E+000	3.075461587412789E+001	-1.779545409810199E+001	1.010435214070268E+002	-1.778955698661352E+001	1.048834185502840E+002	-6.856403456245963E-001	-3.979752582592482E+001	
3.501540000000000E+009	-4.187139580578102E+000	2.999375976643471E+001	-1.790537653469259E+001	1.011668971807417E+002	-1.789624972180579E+001	1.049908001773698E+002	-6.866469848859687E-001	-4.109033819030463E+001	
3.501760000000000E+009	-4.213245174654638E+000	2.921757820930770E+001	-1.801208063791995E+001	1.013189917336834E+002	-1.799765320837914E+001	1.051568361148564E+002	-6.879415529609287E-001	-4.238782928750896E+001	
3.501980000000000E+009	-4.238882148045963E+000	2.843828770146055E+001	-1.811536780551033E+001	1.015058222286619E+002	-1.809602258156794E+001	1.053599905264441E+002	-6.889726162952216E-001	-4.368780267291148E+001	
3.502200000000000E+009	-4.266290594935279E+000	2.763921052612498E+001	-1.821524885642418E+001	1.017231963296099E+002	-1.818591034580830E+001	1.056096637248084E+002	-6.903724177738482E-001	-4.499114020134851E+001	
3.502420000000000E+009	-4.293925301011537E+000	2.684637017994727E+001	-1.831139923918319E+001	1.019682983806402E+002	-1.827266882693649E+001	1.058803679161317E+002	-6.917964723692818E-001	-4.629921520227040E+001	
