# Version 1.00
#
freq[Hz]	db:Trc1_S11	ang:Trc1_S11	db:Trc2_S12	ang:Trc2_S12	db:Trc3_S21	ang:Trc3_S21	db:Trc4_S22	ang:Trc4_S22	
3.500000000000000E+009	-4.373339265909288E+000	3.498013252269081E+001	-5.671209144702409E+000	-1.037439190186304E+002	-5.615763461654050E+000	-1.034961426306154E+002	-1.100875373549414E+001	9.919434740520948E+001	
3.500220000000000E+009	-4.414150697727993E+000	3.423387140453398E+001	-5.650238350716522E+000	-1.047572770284676E+002	-5.595015501670682E+000	-1.045110717590969E+002	-1.092454208218737E+001	9.819490050692185E+001	
3.500440000000000E+009	-4.456355514245739E+000	3.348069662605066E+001	-5.629281395214260E+000	-1.057669951979003E+002	-5.574746110743302E+000	-1.055356928375074E+002	-1.084365647632067E+001	9.719210934740586E+001	
3.500660000000000E+009	-4.497537102862154E+000	3.274343115936594E+001	-5.609399181904330E+000	-1.067664797887718E+002	-5.554623572040888E+000	-1.065512665465895E+002	-1.076456466936386E+001	9.620340450968294E+001	
3.500880000000000E+009	-4.539069084236671E+000	3.200854297796576E+001	-5.589561605655893E+000	-1.077777776859567E+002	-5.534465428893028E+000	-1.075647141095103E+002	-1.068868299309148E+001	9.521303327298185E+001	
3.501100000000000E+009	-4.580192165498159E+000	3.127657093555021E+001	-5.569919603583124E+000	-1.087938228984226E+002	-5.514521912567427E+000	-1.085780075440816E+002	-1.061470934681464E+001	9.420139102736711E+001	
3.501320000000000E+009	-4.622120272562611E+000	3.053668153234278E+001	-5.550814650782706E+000	-1.098090206968974E+002	-5.494557707389610E+000	-1.095951206653181E+002	-1.054488909102025E+001	9.318935030321777E+001	
3.501540000000000E+009	-4.664121346535673E+000	2.980632340544031E+001	-5.531697712729390E+000	-1.108119105143493E+002	-5.475427737326483E+000	-1.106088190546027E+002	-1.047703862304311E+001	9.219504128246544E+001	
3.501760000000000E+009	-4.706513619922210E+000	2.908576500255738E+001	-5.512923459723234E+000	-1.118095561742808E+002	-5.456064416704483E+000	-1.116173966615150E+002	-1.041049137098345E+001	9.119472379666448E+001	
3.501980000000000E+009	-4.747329732372583E+000	2.837508590359533E+001	-5.494300914831264E+000	-1.128302936999629E+002	-5.437015584490077E+000	-1.126275091774584E+002	-1.034735018268101E+001	9.018335529724635E+001	
3.502200000000000E+009	-4.790179959667537E+000	2.765213258191273E+001	-5.475840808982975E+000	-1.138282759783267E+002	-5.418347242870158E+000	-1.136435472249411E+002	-1.028692653158994E+001	8.916526030341882E+001	
3.502420000000000E+009	-4.832841342077223E+000	2.693340537863310E+001	-5.457432710548869E+000	-1.148460848988287E+002	-5.400490767733246E+000	-1.146558417755577E+002	-1.022992816307242E+001	8.812738337036049E+001	
3.502640000000000E+009	-4.875693942826547E+000	2.620856195486203E+001	-5.439397634705143E+000	-1.158520627135817E+002	-5.382864597950833E+000	-1.156710371549464E+002	-1.017498710954071E+001	8.709338456291238E+001	
3.502860000000000E+009	-4.918103589699057E+000	2.549787316202562E+001	-5.421572080780090E+000	-1.168485295408958E+002	-5.365018251586207E+000	-1.166782319542824E+002	-1.012172483389020E+001	8.607935775493506E+001	
3.503080000000000E+009	-4.959540044402742E+000	2.479564461750469E+001	-5.403493532128980E+000	-1.178436632934943E+002	-5.347186383026409E+000	-1.176829789895694E+002	-1.007094296315186E+001	8.506850399496207E+001	
