# Version 1.00
#
freq[Hz]	db:Trc1_S11	ang:Trc1_S11	db:Trc2_S12	ang:Trc2_S12	db:Trc3_S21	ang:Trc3_S21	db:Trc4_S22	ang:Trc4_S22	
3.680000000000000E+009	-1.806476036555393E+001	8.465315631288765E+001	-4.890690777690717E+000	-1.129358332972875E+002	-4.950655277478573E+000	-1.130090940472432E+002	-5.480407639894051E+000	-9.013074367472511E+001	
3.680040000000000E+009	-1.807589720817223E+001	8.446214146649632E+001	-4.889741505934246E+000	-1.131175470614039E+002	-4.949659342127667E+000	-1.131774475319238E+002	-5.479516951488882E+000	-9.045595395232900E+001	
3.680080000000000E+009	-1.808627825064255E+001	8.426936511322518E+001	-4.889304106757841E+000	-1.132978039231667E+002	-4.948467799285268E+000	-1.133494495704701E+002	-5.479084461445661E+000	-9.078137334488154E+001	
3.680120000000000E+009	-1.809416010882529E+001	8.407493661457448E+001	-4.888986344319227E+000	-1.134753401159096E+002	-4.947730148150631E+000	-1.135246996691624E+002	-5.478356377785704E+000	-9.110804631381645E+001	
3.680160000000000E+009	-1.810360162232377E+001	8.387444005147970E+001	-4.888134330155847E+000	-1.136495349581324E+002	-4.946386291220902E+000	-1.136989633598082E+002	-5.477778096714007E+000	-9.143234349933353E+001	
3.680200000000000E+009	-1.811193557334633E+001	8.368284054083239E+001	-4.888216028955789E+000	-1.138200788201426E+002	-4.945907208931234E+000	-1.138715098792441E+002	-5.477571298297820E+000	-9.176398236435594E+001	
3.680240000000000E+009	-1.812070240054220E+001	8.348646535644431E+001	-4.887080009023940E+000	-1.139946015900850E+002	-4.945418072456187E+000	-1.140485003807966E+002	-5.476868851673537E+000	-9.208949747435763E+001	
3.680280000000000E+009	-1.813023042272070E+001	8.329133821134866E+001	-4.886161333257437E+000	-1.141781087219541E+002	-4.944512185041172E+000	-1.142211433021023E+002	-5.476076199485264E+000	-9.241385076177662E+001	
3.680320000000000E+009	-1.813919949209617E+001	8.309873527130537E+001	-4.885329858621351E+000	-1.143597641574952E+002	-4.943398083534879E+000	-1.143970779998984E+002	-5.474887984970344E+000	-9.273968558599972E+001	
3.680360000000000E+009	-1.814662087163573E+001	8.290307808439836E+001	-4.884700133597168E+000	-1.145328063222648E+002	-4.942957942764869E+000	-1.145694920411281E+002	-5.474145186821450E+000	-9.306473929284095E+001	
3.680400000000000E+009	-1.815612464916737E+001	8.270563533894188E+001	-4.884139105983291E+000	-1.147032428759985E+002	-4.942152163787141E+000	-1.147445682967404E+002	-5.473010428818077E+000	-9.338924533873384E+001	
3.680440000000000E+009	-1.816340302888884E+001	8.251082239145593E+001	-4.883883648843201E+000	-1.148792558090716E+002	-4.941177156179577E+000	-1.149185868058544E+002	-5.472159091253770E+000	-9.371892771409659E+001	
3.680480000000000E+009	-1.817319666838791E+001	8.231712877041871E+001	-4.883026606595847E+000	-1.150566605263633E+002	-4.940645988726763E+000	-1.150923395595260E+002	-5.471599807174331E+000	-9.404065579913767E+001	
3.680520000000000E+009	-1.818046154792178E+001	8.211711799025157E+001	-4.882093575703729E+000	-1.152399422586012E+002	-4.939598959206268E+000	-1.152641234764519E+002	-5.470636309084131E+000	-9.436551893520371E+001	
3.680560000000000E+009	-1.818942280221263E+001	8.192611163291663E+001	-4.881616802357600E+000	-1.154186748536804E+002	-4.939128826553916E+000	-1.154383796714034E+002	-5.469695100563561E+000	-9.469225717098441E+001	
3.680600000000000E+009	-1.819733810289985E+001	8.172698354078830E+001	-4.881805755799166E+000	-1.155848758323006E+002	-4.938605042180452E+000	-1.156156103710609E+002	-5.469025826568153E+000	-9.501824331368026E+001	
3.680640000000000E+009	-1.820664131801725E+001	8.153046580929522E+001	-4.880856291761674E+000	-1.157588931947142E+002	-4.937635214081653E+000	-1.157935460337405E+002	-5.468049725971482E+000	-9.535093721285654E+001	
3.680680000000000E+009	-1.821429959985012E+001	8.133524854707659E+001	-4.880444876376736E+000	-1.159386901716622E+002	-4.937216878825716E+000	-1.159669691741048E+002	-5.467299055256918E+000	-9.567398293395351E+001	
