# Version 1.00
#
freq[Hz]	db:Trc1_S11	ang:Trc1_S11	db:Trc2_S12	ang:Trc2_S12	db:Trc3_S21	ang:Trc3_S21	db:Trc4_S22	ang:Trc4_S22	
3.500000000000000E+009	-4.234654957081982E+000	3.310432867134518E+001	-5.728644456356860E+000	-1.014853134163037E+002	-5.679259788069980E+000	-9.776109478401608E+001	-1.127776021651743E+001	1.056748853963886E+002	
3.500220000000000E+009	-4.268650958078158E+000	3.234058964632405E+001	-5.707682767610441E+000	-1.025020708138873E+002	-5.653161099077218E+000	-9.879110166158409E+001	-1.119437058927815E+001	1.046023982373918E+002	
3.500440000000000E+009	-4.302525685200052E+000	3.157020825878529E+001	-5.686811161580531E+000	-1.035182132689968E+002	-5.626619889239174E+000	-9.980529769732935E+001	-1.111370274098844E+001	1.035342428652541E+002	
3.500660000000000E+009	-4.337645376755805E+000	3.081437112508917E+001	-5.666561696132496E+000	-1.045373508398647E+002	-5.600491440883887E+000	-1.008427553508668E+002	-1.103528669434788E+001	1.024592157940193E+002	
3.500880000000000E+009	-4.373036126344787E+000	3.005865323606156E+001	-5.646342987926390E+000	-1.055531924533357E+002	-5.574732818296690E+000	-1.018776918789399E+002	-1.095884146692711E+001	1.013818083799635E+002	
3.501100000000000E+009	-4.406980675323320E+000	2.929616458249735E+001	-5.626340788623698E+000	-1.065731386420996E+002	-5.550296106108785E+000	-1.028965651939969E+002	-1.088496320070712E+001	1.003059140437543E+002	
3.501320000000000E+009	-4.440102269961084E+000	2.856393135954857E+001	-5.606666288476924E+000	-1.075871816382966E+002	-5.530611152675313E+000	-1.039365316441047E+002	-1.081354420075145E+001	9.922417551583909E+001	
3.501540000000000E+009	-4.476092089914073E+000	2.782757397198921E+001	-5.587407279014850E+000	-1.086017859566400E+002	-5.507568216695435E+000	-1.049822398650544E+002	-1.074346681876875E+001	9.814413772765815E+001	
3.501760000000000E+009	-4.512068786842519E+000	2.707606737079297E+001	-5.568356591929737E+000	-1.096185045848291E+002	-5.482615649074553E+000	-1.060071179370456E+002	-1.067558051785610E+001	9.706353073886959E+001	
3.501980000000000E+009	-4.547584660159073E+000	2.632240529570371E+001	-5.549586325466335E+000	-1.106347625250580E+002	-5.457985235253150E+000	-1.070262449798346E+002	-1.061013007224223E+001	9.597973533791188E+001	
3.502200000000000E+009	-4.585221506792699E+000	2.554848469593900E+001	-5.531315098076109E+000	-1.116521557577700E+002	-5.429536808029994E+000	-1.080369548142112E+002	-1.054563563270044E+001	9.489757673225935E+001	
3.502420000000000E+009	-4.622918079633060E+000	2.478301882292189E+001	-5.513227080476082E+000	-1.126710889959352E+002	-5.402212146575485E+000	-1.090553004263580E+002	-1.048335989216604E+001	9.380745887869657E+001	
3.502640000000000E+009	-4.660820646860481E+000	2.401861772359221E+001	-5.495464443035338E+000	-1.136858774292447E+002	-5.374790647760252E+000	-1.100717767524305E+002	-1.042276756880762E+001	9.271810100871785E+001	
3.502860000000000E+009	-4.697162004446940E+000	2.326920446774283E+001	-5.477747311764618E+000	-1.146978652117551E+002	-5.350384281730474E+000	-1.110893144452173E+002	-1.036436435825912E+001	9.162324206235289E+001	
3.503080000000000E+009	-4.733893976738384E+000	2.254457682364245E+001	-5.460332863977684E+000	-1.157129785315193E+002	-5.329215561043044E+000	-1.121248412770499E+002	-1.030813435635254E+001	9.052141070847362E+001	
3.503300000000000E+009	-4.771923467271146E+000	2.181576989466248E+001	-5.443194147947580E+000	-1.167242648429287E+002	-5.306717125691787E+000	-1.131633413920099E+002	-1.025358832338455E+001	8.941720858711283E+001	
3.503520000000000E+009	-4.809541294805404E+000	2.108381364750707E+001	-5.426252474946763E+000	-1.177400464835835E+002	-5.284051836145125E+000	-1.141944033512942E+002	-1.020060574993041E+001	8.830875227681489E+001	
3.503740000000000E+009	-4.845313517472012E+000	2.033800314861443E+001	-5.409603482150858E+000	-1.187521341655368E+002	-5.260845198234654E+000	-1.152029124055840E+002	-1.014917205331004E+001	8.720171965574866E+001	
3.503960000000000E+009	-4.882093496711290E+000	1.961547055112220E+001	-5.392968030436117E+000	-1.197644837303372E+002	-5.240046348422765E+000	-1.162294198525880E+002	-1.009961133862968E+001	8.608653852720275E+001	
3.504180000000000E+009	-4.921378363381228E+000	1.891078414472277E+001	-5.376851302543664E+000	-1.207724769380590E+002	-5.219726754416204E+000	-1.172789882489443E+002	-1.005151151354398E+001	8.496278526817135E+001	
