# Version 1.00
#
freq[Hz]	db:Trc1_S11	ang:Trc1_S11	db:Trc2_S12	ang:Trc2_S12	db:Trc3_S21	ang:Trc3_S21	db:Trc4_S22	ang:Trc4_S22	
3.680000000000000E+009	-1.773545556017946E+001	8.304879815272506E+001	-4.985668346495729E+000	-1.110319844996036E+002	-5.042990564520488E+000	-1.112044072273960E+002	-5.512454091890031E+000	-8.457681207918459E+001	
3.680040000000000E+009	-1.774644077486484E+001	8.284176304540890E+001	-4.985245973291985E+000	-1.112077962542783E+002	-5.041885659647800E+000	-1.113687929739205E+002	-5.512903474155259E+000	-8.490121254566373E+001	
3.680080000000000E+009	-1.775623658220292E+001	8.264368622383887E+001	-4.985152002225274E+000	-1.113798551300071E+002	-5.041366146839073E+000	-1.115390630272687E+002	-5.513295889785629E+000	-8.522238502454147E+001	
3.680120000000000E+009	-1.776359467082438E+001	8.244030637077808E+001	-4.985490664812169E+000	-1.115512143187336E+002	-5.040648548922735E+000	-1.117107950522255E+002	-5.513791025570636E+000	-8.553822653193471E+001	
3.680160000000000E+009	-1.777268131990851E+001	8.223818099625002E+001	-4.984556072767951E+000	-1.117274897090406E+002	-5.039735031144399E+000	-1.118795400466082E+002	-5.513549270298021E+000	-8.586203958353538E+001	
3.680200000000000E+009	-1.778087296479171E+001	8.203480343228050E+001	-4.984770010190703E+000	-1.118955912421941E+002	-5.039570249821092E+000	-1.120502503747181E+002	-5.514247607903520E+000	-8.618531343406217E+001	
3.680240000000000E+009	-1.778934035272705E+001	8.182725523162937E+001	-4.983505778718861E+000	-1.120679156555111E+002	-5.039185658037480E+000	-1.122234182756067E+002	-5.513853331920802E+000	-8.650197701435083E+001	
3.680280000000000E+009	-1.779885262334435E+001	8.162870010935981E+001	-4.983381263505836E+000	-1.122447511869560E+002	-5.038421649323968E+000	-1.123897168634309E+002	-5.514505817705676E+000	-8.682036349342396E+001	
3.680320000000000E+009	-1.780640412458668E+001	8.142510558576137E+001	-4.983059355086033E+000	-1.124133048512742E+002	-5.037927718079902E+000	-1.125633979476835E+002	-5.514664419267685E+000	-8.714153541507811E+001	
3.680360000000000E+009	-1.781439994955116E+001	8.122111086614326E+001	-4.982353827883477E+000	-1.125853321973748E+002	-5.037853339525219E+000	-1.127371831284837E+002	-5.514918884145449E+000	-8.745938633577922E+001	
3.680400000000000E+009	-1.782347273994291E+001	8.101793576621655E+001	-4.981704782895038E+000	-1.127604284945152E+002	-5.037011198291471E+000	-1.129049509929180E+002	-5.513849581025271E+000	-8.777779282191220E+001	
3.680440000000000E+009	-1.783126186830151E+001	8.081235129491422E+001	-4.981849452515077E+000	-1.129309256703726E+002	-5.036503973216029E+000	-1.130721512433456E+002	-5.513825855445758E+000	-8.810139414449397E+001	
3.680480000000000E+009	-1.784141270571197E+001	8.060926530114583E+001	-4.981433757888699E+000	-1.131020761625538E+002	-5.035939004658977E+000	-1.132445679914034E+002	-5.514726603670207E+000	-8.841787685980880E+001	
3.680520000000000E+009	-1.784776547292229E+001	8.040682826779540E+001	-4.981106111771581E+000	-1.132733848231421E+002	-5.035901657013196E+000	-1.134157520746115E+002	-5.514933904749306E+000	-8.873602844194619E+001	
3.680560000000000E+009	-1.785730667933014E+001	8.020624088632583E+001	-4.980558964506185E+000	-1.134500804408115E+002	-5.035664583717232E+000	-1.135878038849042E+002	-5.514907496876529E+000	-8.906120526724486E+001	
3.680600000000000E+009	-1.786498249132234E+001	7.999525566353886E+001	-4.980652821914273E+000	-1.136173207026415E+002	-5.035189655940031E+000	-1.137616300096570E+002	-5.514829607638161E+000	-8.937959364248147E+001	
3.680640000000000E+009	-1.787378403023931E+001	7.979436531231141E+001	-4.980101909077416E+000	-1.137908812180132E+002	-5.034905872083674E+000	-1.139317979232266E+002	-5.514415984616933E+000	-8.970647562671189E+001	
3.680680000000000E+009	-1.788125288973966E+001	7.959306288345664E+001	-4.980039955170660E+000	-1.139612599515892E+002	-5.034531506640303E+000	-1.141042197435170E+002	-5.514551396477923E+000	-9.002797759787065E+001	
3.680720000000000E+009	-1.788807054179477E+001	7.937572620104405E+001	-4.979765276306306E+000	-1.141378590233090E+002	-5.034767953950068E+000	-1.142699811183084E+002	-5.515039849244118E+000	-9.035120702616901E+001	
3.680760000000000E+009	-1.789804976398613E+001	7.918318133552391E+001	-4.979752461105867E+000	-1.143072092882918E+002	-5.033601523714122E+000	-1.144418835922969E+002	-5.515140437863378E+000	-9.066733367743784E+001	
3.680800000000000E+009	-1.790639084511055E+001	7.897655781616975E+001	-4.978931641983222E+000	-1.144827198793714E+002	-5.033160997335689E+000	-1.146135208555437E+002	-5.514588700828368E+000	-9.098609649359166E+001	
3.680840000000000E+009	-1.791527439017260E+001	7.877093785129851E+001	-4.978752444431999E+000	-1.146531926737765E+002	-5.033261291133737E+000	-1.147838762633522E+002	-5.514514056332492E+000	-9.130837865782468E+001	
3.680880000000000E+009	-1.792219929312989E+001	7.856477329697623E+001	-4.978187134249139E+000	-1.148284702024937E+002	-5.032554082676133E+000	-1.149531342199061E+002	-5.514212266560596E+000	-9.163160360984084E+001	
3.680920000000000E+009	-1.793148944544242E+001	7.836892035712768E+001	-4.978373050338734E+000	-1.150009921501308E+002	-5.032560064692272E+000	-1.151258235147313E+002	-5.513970503122295E+000	-9.195267728013405E+001	
3.680960000000000E+009	-1.794047608769606E+001	7.815525028386738E+001	-4.977807819705539E+000	-1.151751952728981E+002	-5.031877458999627E+000	-1.152998737025982E+002	-5.514261425723202E+000	-9.227129843499375E+001	
3.681000000000000E+009	-1.794727945093771E+001	7.795640798212946E+001	-4.978125212261582E+000	-1.153480782173064E+002	-5.031356358138058E+000	-1.154679418133981E+002	-5.514284857940341E+000	-9.259176261738595E+001	
3.681040000000000E+009	-1.795604444215324E+001	7.775214705949682E+001	-4.978248123764831E+000	-1.155218355500026E+002	-5.031239771376803E+000	-1.156384027796430E+002	-5.513963936717047E+000	-9.291288645847148E+001	
3.681080000000000E+009	-1.796310908440740E+001	7.754918167656841E+001	-4.977689423594335E+000	-1.156936326127283E+002	-5.031076942257598E+000	-1.158112115312945E+002	-5.513251137136955E+000	-9.323314645589859E+001	
3.681120000000000E+009	-1.797191344195664E+001	7.733543650290871E+001	-4.977906768332149E+000	-1.158647682918294E+002	-5.030386281673261E+000	-1.159836184283604E+002	-5.513830030783868E+000	-9.354822566579833E+001	
3.681160000000000E+009	-1.797949620734777E+001	7.713116779772065E+001	-4.977407355564104E+000	-1.160361111370156E+002	-5.030414155402583E+000	-1.161507912195789E+002	-5.513282124157205E+000	-9.387257213208635E+001	
3.681200000000000E+009	-1.798753986183538E+001	7.693024413469756E+001	-4.977073217751396E+000	-1.162102805498284E+002	-5.030206950041515E+000	-1.163248539953555E+002	-5.513337683373027E+000	-9.419049089470475E+001	
3.681240000000000E+009	-1.799449775396629E+001	7.672260172330607E+001	-4.976740098227261E+000	-1.163811462869166E+002	-5.029949564550644E+000	-1.164972673597712E+002	-5.512735592438832E+000	-9.451219870781397E+001	
3.681280000000000E+009	-1.800354943282746E+001	7.652036774104690E+001	-4.976407770363557E+000	-1.165554249622778E+002	-5.029533285966958E+000	-1.166670436310604E+002	-5.512109876366863E+000	-9.483467738492838E+001	
3.681320000000000E+009	-1.801180341328193E+001	7.630403213694473E+001	-4.976267216852746E+000	-1.167261375547885E+002	-5.029364536850146E+000	-1.168406792618115E+002	-5.511864677156441E+000	-9.515339920904076E+001	
3.681360000000000E+009	-1.801884300022292E+001	7.610914319278733E+001	-4.976629492441052E+000	-1.168952725616405E+002	-5.028777430644341E+000	-1.170089275604013E+002	-5.511501379417059E+000	-9.547711877798191E+001	
3.681400000000000E+009	-1.802714099647654E+001	7.590182747277721E+001	-4.976600446194674E+000	-1.170717156075715E+002	-5.028562493094960E+000	-1.171822067570048E+002	-5.511394997683655E+000	-9.579798277613398E+001	
3.681440000000000E+009	-1.803526242410266E+001	7.569590528501384E+001	-4.976478238616625E+000	-1.172466272040835E+002	-5.028638071489227E+000	-1.173516138568461E+002	-5.511495682258500E+000	-9.611319375609303E+001	
3.681480000000000E+009	-1.804322541560488E+001	7.549018082114007E+001	-4.976887738376725E+000	-1.174192006110628E+002	-5.028150685981840E+000	-1.175217359392193E+002	-5.510829967013622E+000	-9.644049583211962E+001	
3.681520000000000E+009	-1.805106410285379E+001	7.527846780234093E+001	-4.976447607151869E+000	-1.175901873303603E+002	-5.027709966484403E+000	-1.176970597818949E+002	-5.510437183734884E+000	-9.676173583570626E+001	
3.681560000000000E+009	-1.805827939382387E+001	7.507476136208952E+001	-4.976111569791866E+000	-1.177607345463386E+002	-5.027484452499095E+000	-1.178652768802304E+002	-5.510025674822635E+000	-9.707836862157934E+001	
3.681600000000000E+009	-1.806632648426577E+001	7.486384974793043E+001	-4.976032053339116E+000	-1.179348496214597E+002	-5.027415782110298E+000	-1.180385459031880E+002	-5.509904899421811E+000	-9.739627749188648E+001	
3.681640000000000E+009	-1.807368169994727E+001	7.466495495828187E+001	-4.976008557789028E+000	-1.181114036323887E+002	-5.027084012535013E+000	-1.182100096270088E+002	-5.509176110480023E+000	-9.772211567360279E+001	
3.681680000000000E+009	-1.808175770496586E+001	7.444719887107800E+001	-4.975669754180598E+000	-1.182826617727778E+002	-5.026493293723619E+000	-1.183830043850055E+002	-5.508724401137809E+000	-9.804168373578936E+001	
3.681720000000000E+009	-1.809040730536567E+001	7.424939933306258E+001	-4.975634159260626E+000	-1.184580525511572E+002	-5.026748251488045E+000	-1.185551884159732E+002	-5.508603288750519E+000	-9.836236542456842E+001	
3.681760000000000E+009	-1.809720485450003E+001	7.403851845376838E+001	-4.975947708706049E+000	-1.186316443395261E+002	-5.026271966138530E+000	-1.187261566033855E+002	-5.507660077655718E+000	-9.868452244172761E+001	
3.681800000000000E+009	-1.810469381653239E+001	7.382944524185072E+001	-4.975984121063916E+000	-1.188033353729152E+002	-5.026360049105789E+000	-1.188972700858901E+002	-5.507950652460858E+000	-9.900181861452877E+001	
3.681840000000000E+009	-1.811259378622265E+001	7.362764047735001E+001	-4.975905001689039E+000	-1.189780736673983E+002	-5.026233639852663E+000	-1.190661686957957E+002	-5.507460764831837E+000	-9.932583245817139E+001	
3.681880000000000E+009	-1.812028041799015E+001	7.341815817656830E+001	-4.975727510153646E+000	-1.191506343788984E+002	-5.026090256736256E+000	-1.192361424695373E+002	-5.506797275212555E+000	-9.964430015423858E+001	
3.681920000000000E+009	-1.812863544590699E+001	7.321060328830426E+001	-4.976371956363483E+000	-1.193215433591924E+002	-5.026096546976691E+000	-1.194087537792172E+002	-5.506085755061529E+000	-9.996846616276768E+001	
3.681960000000000E+009	-1.813467213955341E+001	7.300337667935798E+001	-4.976068830314958E+000	-1.194950356338830E+002	-5.025525581797633E+000	-1.195810173231850E+002	-5.505920655340715E+000	-1.002881668299410E+002	
3.682000000000000E+009	-1.814337346411987E+001	7.279042084195882E+001	-4.975738501473764E+000	-1.196672893551828E+002	-5.025813963033472E+000	-1.197527868906096E+002	-5.505244786726482E+000	-1.006085487480567E+002	
3.682040000000000E+009	-1.815054585436095E+001	7.258773414941850E+001	-4.976385705727610E+000	-1.198433534845303E+002	-5.024983434389194E+000	-1.199232533728281E+002	-5.505084722775414E+000	-1.009264188573265E+002	
3.682080000000000E+009	-1.815730521293765E+001	7.238234817043440E+001	-4.975762364354337E+000	-1.200143984414724E+002	-5.025006889495779E+000	-1.200916056119950E+002	-5.503918709521884E+000	-1.012442183067971E+002	
3.682120000000000E+009	-1.816536013596610E+001	7.216987154388714E+001	-4.976195507692845E+000	-1.201866151944453E+002	-5.024986477864561E+000	-1.202649531396491E+002	-5.503654666301405E+000	-1.015683136115318E+002	
3.682160000000000E+009	-1.817381068753454E+001	7.196846545716829E+001	-4.976349971886795E+000	-1.203591970240779E+002	-5.024974073383935E+000	-1.204379169326785E+002	-5.502974749168763E+000	-1.018878008591086E+002	
3.682200000000000E+009	-1.818083365270263E+001	7.175515079535457E+001	-4.976520911079526E+000	-1.205280231668594E+002	-5.024811481194287E+000	-1.206143555768621E+002	-5.502162320269089E+000	-1.022111315381341E+002	
3.682240000000000E+009	-1.818738756990967E+001	7.154606475607670E+001	-4.976209090812787E+000	-1.207038770014415E+002	-5.024868147560021E+000	-1.207826276077408E+002	-5.501614005291822E+000	-1.025281639248998E+002	
3.682280000000000E+009	-1.819495631522135E+001	7.133592868535632E+001	-4.976607107807331E+000	-1.208790851493514E+002	-5.024581957083314E+000	-1.209525745287344E+002	-5.500850645313211E+000	-1.028495797576145E+002	
3.682320000000000E+009	-1.820230826268477E+001	7.112806725523225E+001	-4.976415242941585E+000	-1.210525241825498E+002	-5.024294618918995E+000	-1.211250209434312E+002	-5.500038332785490E+000	-1.031717789015790E+002	
3.682360000000000E+009	-1.820969631688233E+001	7.091747920657245E+001	-4.976981802529554E+000	-1.212217655168277E+002	-5.024345430920963E+000	-1.212972693445549E+002	-5.499846161685251E+000	-1.034900712885035E+002	
3.682400000000000E+009	-1.821691691390975E+001	7.071057118510153E+001	-4.977334883609596E+000	-1.213964230877421E+002	-5.024092498493434E+000	-1.214695834218732E+002	-5.499248454579547E+000	-1.038103324677844E+002	
3.682440000000000E+009	-1.822441229861390E+001	7.049681943918110E+001	-4.977048983915362E+000	-1.215643304444995E+002	-5.024280570086509E+000	-1.216445486851472E+002	-5.498506074702609E+000	-1.041299622138421E+002	
3.682480000000000E+009	-1.823166672884069E+001	7.029087745857910E+001	-4.977124756662560E+000	-1.217430997881928E+002	-5.024209036537108E+000	-1.218161514352824E+002	-5.497871413713616E+000	-1.044485907387884E+002	
3.682520000000000E+009	-1.823979968427955E+001	7.007778491163734E+001	-4.977146823696221E+000	-1.219130774052853E+002	-5.023803160464992E+000	-1.219840548385755E+002	-5.496826190986947E+000	-1.047706416219982E+002	
3.682560000000000E+009	-1.824562982304619E+001	6.986828017014585E+001	-4.977251845413611E+000	-1.220857617469592E+002	-5.024145398958133E+000	-1.221582405179271E+002	-5.496208772224426E+000	-1.050910898986562E+002	
3.682600000000000E+009	-1.825265013006634E+001	6.966028500086351E+001	-4.977536428672649E+000	-1.222561331830770E+002	-5.023557029394005E+000	-1.223276306062285E+002	-5.495156688777400E+000	-1.054080783135706E+002	
3.682640000000000E+009	-1.826005377925221E+001	6.945535588109262E+001	-4.977738823938319E+000	-1.224261974578157E+002	-5.023700560772279E+000	-1.225029972245407E+002	-5.494324038256659E+000	-1.057299818897060E+002	
3.682680000000000E+009	-1.826710924404200E+001	6.924369632147356E+001	-4.977765329633523E+000	-1.226003177006510E+002	-5.023733516592989E+000	-1.226739253756501E+002	-5.494159017762733E+000	-1.060488698716404E+002	
3.682720000000000E+009	-1.827540849176216E+001	6.903068832738023E+001	-4.978161876800726E+000	-1.227728734301938E+002	-5.023681963230197E+000	-1.228454097267527E+002	-5.493115367122551E+000	-1.063692462921260E+002	
3.682760000000000E+009	-1.828171220185246E+001	6.882626953129700E+001	-4.978528904495205E+000	-1.229485342923912E+002	-5.023409364840308E+000	-1.230173331494046E+002	-5.492494715217168E+000	-1.066925428792811E+002	
3.682800000000000E+009	-1.828955896606281E+001	6.861645928905358E+001	-4.978822565018082E+000	-1.231189525908739E+002	-5.023650101407466E+000	-1.231924006485309E+002	-5.491480296340046E+000	-1.070106249315184E+002	
3.682840000000000E+009	-1.829567305355407E+001	6.840639471350451E+001	-4.979510976629308E+000	-1.232940365907669E+002	-5.023482920077100E+000	-1.233567205659724E+002	-5.490853544812080E+000	-1.073319016709248E+002	
