# Version 1.00
#
freq[Hz]	db:Trc1_S11	ang:Trc1_S11	db:Trc2_S12	ang:Trc2_S12	db:Trc3_S21	ang:Trc3_S21	db:Trc4_S22	ang:Trc4_S22	
3.500000000000000E+009	-4.353576688524277E+000	3.499921422877714E+001	-5.503149958064333E+000	-1.010012994174980E+002	-5.453239199525966E+000	-1.007250419730679E+002	-1.220000632425015E+001	1.028947526814829E+002	
3.500220000000000E+009	-4.394578834012994E+000	3.425434154012093E+001	-5.480951483512501E+000	-1.020103340814501E+002	-5.431203349259396E+000	-1.017470553045424E+002	-1.210689499548738E+001	1.020338038486077E+002	
3.500440000000000E+009	-4.436331372069444E+000	3.351417139460185E+001	-5.459079213182261E+000	-1.030326510941367E+002	-5.410065361995795E+000	-1.027765061183575E+002	-1.201873499378952E+001	1.011704668862146E+002	
3.500660000000000E+009	-4.478468252017003E+000	3.276320912887250E+001	-5.438298656933698E+000	-1.040658167248495E+002	-5.389485005868127E+000	-1.038112067828752E+002	-1.193493706638829E+001	1.002962480519183E+002	
3.500880000000000E+009	-4.520370924472206E+000	3.202165063512091E+001	-5.417434648409369E+000	-1.051033087589949E+002	-5.368445417705074E+000	-1.048455671221189E+002	-1.185326216576143E+001	9.941527503635720E+001	
3.501100000000000E+009	-4.562767992778926E+000	3.127965752663791E+001	-5.396729559157457E+000	-1.061275898418049E+002	-5.348003131291263E+000	-1.058802847496370E+002	-1.177332011653138E+001	9.852534329210180E+001	
3.501320000000000E+009	-4.604408517776434E+000	3.054578801791731E+001	-5.377026951058033E+000	-1.071339119352739E+002	-5.326887164501531E+000	-1.069044111393200E+002	-1.169660105532453E+001	9.764502785596548E+001	
3.501540000000000E+009	-4.646363859028648E+000	2.982353941821341E+001	-5.356823047576381E+000	-1.081502704805721E+002	-5.307269675442095E+000	-1.079268092377972E+002	-1.162487268401064E+001	9.675409900531771E+001	
3.501760000000000E+009	-4.688284239567080E+000	2.910931912320685E+001	-5.337207397129578E+000	-1.091686062494746E+002	-5.286741126697525E+000	-1.089426138542126E+002	-1.155475004558500E+001	9.584391795920580E+001	
3.501980000000000E+009	-4.731018079335300E+000	2.837283215188264E+001	-5.318173208007279E+000	-1.102251749007016E+002	-5.267023143505725E+000	-1.099843204144680E+002	-1.148897075588197E+001	9.491904053232788E+001	
3.502200000000000E+009	-4.774035947831389E+000	2.764679216430712E+001	-5.298654977294799E+000	-1.112420707190030E+002	-5.248104312023816E+000	-1.110160398986276E+002	-1.142577938168662E+001	9.399212883285414E+001	
3.502420000000000E+009	-4.816927357797225E+000	2.692424782695670E+001	-5.279779545568635E+000	-1.122588094282755E+002	-5.228989392532293E+000	-1.120475734308703E+002	-1.136500668289145E+001	9.305720953832443E+001	
3.502640000000000E+009	-4.859263810772789E+000	2.621369843912490E+001	-5.261044856367767E+000	-1.132656864072154E+002	-5.210279326937657E+000	-1.130666834545238E+002	-1.130588334959615E+001	9.212604060028579E+001	
3.502860000000000E+009	-4.901217112567078E+000	2.551065388781220E+001	-5.242396152482066E+000	-1.142759865709833E+002	-5.191643729440870E+000	-1.140799539425230E+002	-1.125070497122529E+001	9.119753981902777E+001	
3.503080000000000E+009	-4.944350706291679E+000	2.478868820517994E+001	-5.224023860825144E+000	-1.153168923408410E+002	-5.173938735554136E+000	-1.151140887465731E+002	-1.120070825430760E+001	9.022528306917687E+001	
3.503300000000000E+009	-4.987091594492573E+000	2.407538593560079E+001	-5.206389827662946E+000	-1.163457463224602E+002	-5.156114546058051E+000	-1.161509521368515E+002	-1.115135798682515E+001	8.926122758072597E+001	
3.503520000000000E+009	-5.029729800719070E+000	2.337439989372196E+001	-5.188460612354136E+000	-1.173636916115078E+002	-5.138366798034147E+000	-1.171770644449296E+002	-1.110332906195815E+001	8.828215839644012E+001	
3.503740000000000E+009	-5.071770441723686E+000	2.267320760883768E+001	-5.170457911055347E+000	-1.183571599806015E+002	-5.120418740201454E+000	-1.181920139238252E+002	-1.105673708127572E+001	8.732580886653297E+001	
3.503960000000000E+009	-5.114291346521093E+000	2.199773000678166E+001	-5.150205162087477E+000	-1.193309323948262E+002	-5.100142871632859E+000	-1.191550993816801E+002	-1.101145971696004E+001	8.636723988445674E+001	
3.504180000000000E+009	-5.156554904719106E+000	2.129267962046504E+001	-5.132794123445873E+000	-1.203637898278854E+002	-5.083573769374326E+000	-1.201787712542193E+002	-1.097152056507768E+001	8.534585520807175E+001	
3.504400000000000E+009	-5.198327722439690E+000	2.059151398681589E+001	-5.116231335876385E+000	-1.213886375883299E+002	-5.066073433632827E+000	-1.212041544776787E+002	-1.093436867449594E+001	8.431715510604519E+001	
3.504620000000000E+009	-5.240802376107994E+000	1.990511357548941E+001	-5.099570676329459E+000	-1.224144873348584E+002	-5.049415149687048E+000	-1.222310607322115E+002	-1.089841811308916E+001	8.326907731561359E+001	
3.504840000000000E+009	-5.282630591255849E+000	1.921144487855911E+001	-5.082936413926541E+000	-1.234348387556163E+002	-5.033118239399530E+000	-1.232582307459502E+002	-1.086403909582720E+001	8.224397975675920E+001	
3.505060000000000E+009	-5.324332674293922E+000	1.853033055544117E+001	-5.066962013679703E+000	-1.244303598101118E+002	-5.017128197928460E+000	-1.242771387895140E+002	-1.083162334034283E+001	8.122045055834765E+001	
3.505280000000000E+009	-5.365555671740130E+000	1.785471294234382E+001	-5.051315949238663E+000	-1.254464034064501E+002	-5.000834976694704E+000	-1.252896279029799E+002	-1.080130048871004E+001	8.014793491479412E+001	
3.505500000000000E+009	-5.407243526075748E+000	1.716303495802479E+001	-5.034768156021285E+000	-1.264668856884608E+002	-4.984917557471917E+000	-1.263189713298386E+002	-1.077319205629630E+001	7.906267942685489E+001	
