# Version 1.00
#
freq[Hz]	db:Trc1_S11	ang:Trc1_S11	db:Trc2_S12	ang:Trc2_S12	db:Trc3_S21	ang:Trc3_S21	db:Trc4_S22	ang:Trc4_S22	
3.680000000000000E+009	-1.797821056565280E+001	8.352770624189748E+001	-4.719752099935299E+000	6.754512804921200E+001	-4.726266092919794E+000	6.770569754548887E+001	-4.288075351616262E+000	-1.507852211884633E+002	
3.680040000000000E+009	-1.798970855049744E+001	8.333012230035897E+001	-4.719907003640659E+000	6.736334006427207E+001	-4.725938221098617E+000	6.752589682933133E+001	-4.288718494431918E+000	-1.510635523857090E+002	
3.680080000000000E+009	-1.799872649167265E+001	8.313521837688923E+001	-4.719397587731955E+000	6.718090296204638E+001	-4.725357095266391E+000	6.735004487080778E+001	-4.289445499240785E+000	-1.513388234529605E+002	
3.680120000000000E+009	-1.800841696527284E+001	8.293898837352518E+001	-4.720009586899024E+000	6.700374060584937E+001	-4.724786631045413E+000	6.717082874822697E+001	-4.290016588942853E+000	-1.516141249062854E+002	
3.680160000000000E+009	-1.801646535940574E+001	8.274217427587695E+001	-4.719624467327614E+000	6.682907032038662E+001	-4.724299988245474E+000	6.700013095996907E+001	-4.291080853913242E+000	-1.518867261018754E+002	
3.680200000000000E+009	-1.802437180000811E+001	8.254078633662731E+001	-4.719795493664806E+000	6.666213365759099E+001	-4.724318191039110E+000	6.682279838403144E+001	-4.291364995987170E+000	-1.521662187838450E+002	
3.680240000000000E+009	-1.803298047350720E+001	8.233925486712307E+001	-4.719964700418233E+000	6.648708362030052E+001	-4.724144327950581E+000	6.664502066893837E+001	-4.292111318261657E+000	-1.524381106685272E+002	
3.680280000000000E+009	-1.804285829028595E+001	8.214306149217617E+001	-4.719908529065205E+000	6.630293734718191E+001	-4.723609563845163E+000	6.647106720592250E+001	-4.293117422474016E+000	-1.527164400426879E+002	
3.680320000000000E+009	-1.805157838267957E+001	8.194711761612636E+001	-4.719926880799883E+000	6.612144587451529E+001	-4.722963873591406E+000	6.629427268459627E+001	-4.293706382666677E+000	-1.529928449900843E+002	
3.680360000000000E+009	-1.805934586354566E+001	8.174925115554979E+001	-4.719758204381424E+000	6.594556221139217E+001	-4.722702715729484E+000	6.611627189419572E+001	-4.294272183384188E+000	-1.532679905246714E+002	
3.680400000000000E+009	-1.806702250548198E+001	8.155500129112053E+001	-4.719860750976261E+000	6.577443259084318E+001	-4.722677516868876E+000	6.594393158605155E+001	-4.294980116449960E+000	-1.535397365823643E+002	
3.680440000000000E+009	-1.807542968216777E+001	8.135244056105570E+001	-4.720612012834049E+000	6.560375423521950E+001	-4.722464464883315E+000	6.576437452673190E+001	-4.295456799022479E+000	-1.538149352446486E+002	
3.680480000000000E+009	-1.808552196541518E+001	8.115591130334693E+001	-4.719770868810563E+000	6.542706687160167E+001	-4.722192904421232E+000	6.558998474894750E+001	-4.296399395344972E+000	-1.540903107258114E+002	
3.680520000000000E+009	-1.809260532068451E+001	8.095293508991271E+001	-4.720121961178779E+000	6.524396469090884E+001	-4.722021323519781E+000	6.541686592998649E+001	-4.297316716619311E+000	-1.543592950228505E+002	
3.680560000000000E+009	-1.810166738262834E+001	8.076400166796294E+001	-4.720195881150654E+000	6.506418709026090E+001	-4.722134546190197E+000	6.523955351022465E+001	-4.298048998628864E+000	-1.546351388517039E+002	
3.680600000000000E+009	-1.810951728583401E+001	8.055681962529485E+001	-4.720630583498947E+000	6.489767489161929E+001	-4.721657448626623E+000	6.506210234670111E+001	-4.298544735398383E+000	-1.549097337170169E+002	
3.680640000000000E+009	-1.811802403138513E+001	8.035713736078229E+001	-4.720441987074405E+000	6.472508868771844E+001	-4.721553421312515E+000	6.488600885095893E+001	-4.299223952061417E+000	-1.551836637697611E+002	
3.680680000000000E+009	-1.812624932699854E+001	8.016073861941371E+001	-4.720733571040467E+000	6.455051590997840E+001	-4.721491994566098E+000	6.470882536075864E+001	-4.300217043519878E+000	-1.554549566972404E+002	
3.680720000000000E+009	-1.813285001159644E+001	7.994458207533943E+001	-4.720460584360475E+000	6.437089625451208E+001	-4.721485875670354E+000	6.454099071122218E+001	-4.300120746007974E+000	-1.557319324012954E+002	
3.680760000000000E+009	-1.814343492516099E+001	7.976003207875527E+001	-4.720743071959977E+000	6.418930572181806E+001	-4.720970599598343E+000	6.436313100354911E+001	-4.300939680900738E+000	-1.560062458256048E+002	
3.680800000000000E+009	-1.815131751277364E+001	7.955945873130682E+001	-4.720668229677172E+000	6.401939136407927E+001	-4.721012536435805E+000	6.417919194486372E+001	-4.302383349935023E+000	-1.562816464678914E+002	
3.680840000000000E+009	-1.815950400840186E+001	7.936477912694930E+001	-4.720820032767016E+000	6.384065091385077E+001	-4.721182997882545E+000	6.400568814658173E+001	-4.302643747388449E+000	-1.565561160614938E+002	
3.680880000000000E+009	-1.816717464127987E+001	7.916598489341948E+001	-4.720487851801948E+000	6.366869916970118E+001	-4.720949610498607E+000	6.383088080402511E+001	-4.303190010431023E+000	-1.568323764190345E+002	
3.680920000000000E+009	-1.817557788431062E+001	7.896986852452692E+001	-4.720899579538061E+000	6.349153418957417E+001	-4.720691963470491E+000	6.365375048370920E+001	-4.303780716067075E+000	-1.571016357213806E+002	
3.680960000000000E+009	-1.818532315577845E+001	7.876649690409018E+001	-4.721310111714560E+000	6.331980268674960E+001	-4.720810545829621E+000	6.347540635039663E+001	-4.304809812212601E+000	-1.573696800994208E+002	
3.681000000000000E+009	-1.819170849801643E+001	7.857302371044459E+001	-4.721339897311546E+000	6.314533633440687E+001	-4.720428523723860E+000	6.330035307014411E+001	-4.305622866981423E+000	-1.576397820052555E+002	
3.681040000000000E+009	-1.820070689440321E+001	7.836608264596066E+001	-4.721407189872461E+000	6.296764726023554E+001	-4.720339688418787E+000	6.312614242141750E+001	-4.306074646315410E+000	-1.579138581628985E+002	
3.681080000000000E+009	-1.820787706947844E+001	7.816387370456349E+001	-4.721706732960948E+000	6.279357160620414E+001	-4.720489684546042E+000	6.294973628962945E+001	-4.306645916251130E+000	-1.581843140381003E+002	
3.681120000000000E+009	-1.821633721030511E+001	7.796167199245758E+001	-4.721514391780955E+000	6.261811689189585E+001	-4.720266346554666E+000	6.277427367272597E+001	-4.307707231227166E+000	-1.584544931685016E+002	
3.681160000000000E+009	-1.822534894834558E+001	7.776415985980728E+001	-4.721496555962772E+000	6.244332631080819E+001	-4.719981190257782E+000	6.259940370426875E+001	-4.308378237475487E+000	-1.587265689631965E+002	
3.681200000000000E+009	-1.823241947537510E+001	7.756930008912414E+001	-4.721547888912862E+000	6.226894148373863E+001	-4.719812416756620E+000	6.242242768700569E+001	-4.308780786691893E+000	-1.589961656333991E+002	
3.681240000000000E+009	-1.824006007954102E+001	7.736978874396598E+001	-4.721550482977351E+000	6.209085481412150E+001	-4.719908389096166E+000	6.224930021847008E+001	-4.309805607364967E+000	-1.592645133279672E+002	
3.681280000000000E+009	-1.824918749963229E+001	7.716937657196381E+001	-4.722112749303692E+000	6.191380420447821E+001	-4.719737680029931E+000	6.207474256342754E+001	-4.310266968482963E+000	-1.595389363493494E+002	
3.681320000000000E+009	-1.825638663885386E+001	7.696513167437742E+001	-4.721630597464561E+000	6.174356734624752E+001	-4.719141254753080E+000	6.190039905622327E+001	-4.310395271950454E+000	-1.598107542641294E+002	
3.681360000000000E+009	-1.826495981151557E+001	7.676731800475034E+001	-4.722099266684167E+000	6.156994611368665E+001	-4.719546063334039E+000	6.172534470262876E+001	-4.310750110194968E+000	-1.600783851083050E+002	
3.681400000000000E+009	-1.827230250187211E+001	7.656921558665107E+001	-4.722463151231371E+000	6.139569768675008E+001	-4.719143004093781E+000	6.154538991010254E+001	-4.311884144471839E+000	-1.603428738889246E+002	
3.681440000000000E+009	-1.827996123757142E+001	7.636756687835928E+001	-4.722298482961893E+000	6.121775194903195E+001	-4.719055218437714E+000	6.137539075873234E+001	-4.312804392671958E+000	-1.606145432522106E+002	
3.681480000000000E+009	-1.828792273549290E+001	7.615747561541022E+001	-4.722663675150572E+000	6.104630388998521E+001	-4.718642562504059E+000	6.119907140126929E+001	-4.313201816818333E+000	-1.608883743572751E+002	
3.681520000000000E+009	-1.829632137246478E+001	7.595915203828103E+001	-4.722772003248352E+000	6.087221513230005E+001	-4.718584289001439E+000	6.102320179098968E+001	-4.313783501342512E+000	-1.611578751415459E+002	
3.681560000000000E+009	-1.830384167131844E+001	7.575814931281248E+001	-4.722571040039989E+000	6.069843553413995E+001	-4.718561161569922E+000	6.084676439209967E+001	-4.314256670603647E+000	-1.614280968560437E+002	
3.681600000000000E+009	-1.831191592999332E+001	7.555142896436415E+001	-4.722808417905020E+000	6.052209482335243E+001	-4.718202613147954E+000	6.067013118943046E+001	-4.315258959699495E+000	-1.616939460821435E+002	
3.681640000000000E+009	-1.831881653627778E+001	7.535388001691717E+001	-4.722939098131216E+000	6.034378687409135E+001	-4.718248123063878E+000	6.049549760672554E+001	-4.315955522707394E+000	-1.619632274642902E+002	
3.681680000000000E+009	-1.832692589458709E+001	7.515266166693112E+001	-4.722805884837015E+000	6.017110530234332E+001	-4.717718798505320E+000	6.032028548562216E+001	-4.316170181544350E+000	-1.622324430300397E+002	
